"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"186",1.5,0.75,FALSE,4,6,150,6,21
"187",0,1.5,FALSE,4,6,150,7,21
"188",0.75,1.5,FALSE,4,6,150,8,21
"189",1.5,1.5,FALSE,4,6,150,9,21
"190",0,0,FALSE,4,6,150,1,22
"191",0.75,0,FALSE,4,6,150,2,22
"192",1.5,0,FALSE,4,6,150,3,22
"193",0,0.75,FALSE,4,6,150,4,22
"194",0.75,0.75,FALSE,4,6,150,5,22
"195",1.5,0.75,FALSE,4,6,150,6,22
"196",0,1.5,FALSE,4,6,150,7,22
"197",0.75,1.5,FALSE,4,6,150,8,22
"198",1.5,1.5,FALSE,4,6,150,9,22
"199",0,0,FALSE,4,6,150,1,23
"200",0.75,0,FALSE,4,6,150,2,23
"201",1.5,0,FALSE,4,6,150,3,23
"202",0,0.75,FALSE,4,6,150,4,23
"203",0.75,0.75,FALSE,4,6,150,5,23
"204",1.5,0.75,FALSE,4,6,150,6,23
"205",0,1.5,FALSE,4,6,150,7,23
"206",0.75,1.5,FALSE,4,6,150,8,23
"207",1.5,1.5,FALSE,4,6,150,9,23
"208",0,0,FALSE,4,6,150,1,24
"209",0.75,0,FALSE,4,6,150,2,24
"210",1.5,0,FALSE,4,6,150,3,24
"211",0,0.75,FALSE,4,6,150,4,24
"212",0.75,0.75,FALSE,4,6,150,5,24
"213",1.5,0.75,FALSE,4,6,150,6,24
"214",0,1.5,FALSE,4,6,150,7,24
"215",0.75,1.5,FALSE,4,6,150,8,24
"216",1.5,1.5,FALSE,4,6,150,9,24
"217",0,0,FALSE,4,6,150,1,25
"218",0.75,0,FALSE,4,6,150,2,25
"219",1.5,0,FALSE,4,6,150,3,25
"220",0,0.75,FALSE,4,6,150,4,25
"221",0.75,0.75,FALSE,4,6,150,5,25
"222",1.5,0.75,FALSE,4,6,150,6,25
"223",0,1.5,FALSE,4,6,150,7,25
"224",0.75,1.5,FALSE,4,6,150,8,25
"225",1.5,1.5,FALSE,4,6,150,9,25
"226",0,0,FALSE,4,6,150,1,26
"227",0.75,0,FALSE,4,6,150,2,26
"228",1.5,0,FALSE,4,6,150,3,26
"229",0,0.75,FALSE,4,6,150,4,26
"230",0.75,0.75,FALSE,4,6,150,5,26
"231",1.5,0.75,FALSE,4,6,150,6,26
"232",0,1.5,FALSE,4,6,150,7,26
"233",0.75,1.5,FALSE,4,6,150,8,26
"234",1.5,1.5,FALSE,4,6,150,9,26
"235",0,0,FALSE,4,6,150,1,27
"236",0.75,0,FALSE,4,6,150,2,27
"237",1.5,0,FALSE,4,6,150,3,27
"238",0,0.75,FALSE,4,6,150,4,27
"239",0.75,0.75,FALSE,4,6,150,5,27
"240",1.5,0.75,FALSE,4,6,150,6,27
"241",0,1.5,FALSE,4,6,150,7,27
"242",0.75,1.5,FALSE,4,6,150,8,27
"243",1.5,1.5,FALSE,4,6,150,9,27
"244",0,0,FALSE,4,6,150,1,28
"245",0.75,0,FALSE,4,6,150,2,28
"246",1.5,0,FALSE,4,6,150,3,28
"247",0,0.75,FALSE,4,6,150,4,28
"248",0.75,0.75,FALSE,4,6,150,5,28
"249",1.5,0.75,FALSE,4,6,150,6,28
"250",0,1.5,FALSE,4,6,150,7,28
"251",0.75,1.5,FALSE,4,6,150,8,28
"252",1.5,1.5,FALSE,4,6,150,9,28
"253",0,0,FALSE,4,6,150,1,29
"254",0.75,0,FALSE,4,6,150,2,29
"255",1.5,0,FALSE,4,6,150,3,29
"256",0,0.75,FALSE,4,6,150,4,29
"257",0.75,0.75,FALSE,4,6,150,5,29
"258",1.5,0.75,FALSE,4,6,150,6,29
"259",0,1.5,FALSE,4,6,150,7,29
"260",0.75,1.5,FALSE,4,6,150,8,29
"261",1.5,1.5,FALSE,4,6,150,9,29
"262",0,0,FALSE,4,6,150,1,30
"263",0.75,0,FALSE,4,6,150,2,30
"264",1.5,0,FALSE,4,6,150,3,30
"265",0,0.75,FALSE,4,6,150,4,30
"266",0.75,0.75,FALSE,4,6,150,5,30
"267",1.5,0.75,FALSE,4,6,150,6,30
"268",0,1.5,FALSE,4,6,150,7,30
"269",0.75,1.5,FALSE,4,6,150,8,30
"270",1.5,1.5,FALSE,4,6,150,9,30
